Exp,A_nivel,B_nivel,C_nivel,D_nivel,A_valor,B_valor,C_valor,D_valor,Retorno_medio,Risco_medio,Sharpe_medio,Sharpe_std,N_replicacoes_validas
1,1,1,1,1,5,6m,0.25,Igual (1/N),0.148619,0.19161,0.1494,0.7859,30
2,1,2,2,2,5,12m,0.5,Min. Var.,0.27484,0.153287,0.9424,0.7041,30
3,1,3,3,3,5,24m,0.75,Max. Sharpe,0.221869,0.214147,0.3978,0.5858,30
4,2,1,2,3,10,6m,0.5,Max. Sharpe,0.222542,0.21691,0.4583,0.5664,30
5,2,2,3,1,10,12m,0.75,Igual (1/N),0.181764,0.163805,0.3459,0.5275,30
6,2,3,1,2,10,24m,0.25,Min. Var.,0.221355,0.133636,0.6996,0.4664,30
7,3,1,3,2,15,6m,0.75,Min. Var.,0.177817,0.120789,0.4131,0.3043,30
8,3,2,1,3,15,12m,0.25,Max. Sharpe,0.240132,0.212194,0.5122,0.4574,30
9,3,3,2,1,15,24m,0.5,Igual (1/N),0.194249,0.157715,0.436,0.411,30
